Aruba,ABW,78.9
Andorra,AND,94
Afghanistan,AFG,5.9
Angola,AGO,19.1
Albania,ALB,60.1
United Arab Emirates,ARE,88
Argentina,ARG,59.9
Armenia,ARM,46.3
American Samoa,ASM,
Antigua and Barbuda,ATG,63.4
Australia,AUS,83
Austria,AUT,80.6188
Azerbaijan,AZE,58.7
Burundi,BDI,1.3
Belgium,BEL,82.1702
Benin,BEN,4.9
Burkina Faso,BFA,4.4
Bangladesh,BGD,6.5
Bulgaria,BGR,53.0615
Bahrain,BHR,90
"Bahamas, The",BHS,72
Bosnia and Herzegovina,BIH,67.9
Belarus,BLR,54.17
Belize,BLZ,31.7
Bermuda,BMU,95.3
Bolivia,BOL,39.5
Brazil,BRA,51.6
Barbados,BRB,75
Brunei Darussalam,BRN,64.5
Bhutan,BTN,29.9
Botswana,BWA,15
Central African Republic,CAF,3.5
Canada,CAN,85.8
East Asia and the Pacific (IFC classification),CEA,
Central Europe and the Baltics,CEB,63.29097207
Europe and Central Asia (IFC classification),CEU,
Switzerland,CHE,86.7
Channel Islands,CHI,
Chile,CHL,66.5
China,CHN,45.8
Cote d'Ivoire,CIV,2.6
Latin America and the Caribbean (IFC classification),CLA,
Middle East and North Africa (IFC classification),CME,
Cameroon,CMR,6.4
"Congo, Rep.",COG,6.6
Colombia,COL,51.7
Comoros,COM,6.5
Cabo Verde,CPV,37.5
Costa Rica,CRI,45.96
South Asia (IFC classification),CSA,
Caribbean small states,CSS,46.16957883
Cuba,CUB,25.70893209
Curacao,CUW,
Cayman Islands,CYM,74.1
Cyprus,CYP,65.4548
Czech Republic,CZE,74.1104
Germany,DEU,83.9614
Djibouti,DJI,9.5
Dominica,DMA,59
Denmark,DNK,94.6297
Dominican Republic,DOM,45.9
Algeria,DZA,16.5
East Asia & Pacific (developing only),EAP,39.48217629
East Asia & Pacific (all income levels),EAS,44.2784957
Europe & Central Asia (developing only),ECA,45.90360319
Europe & Central Asia (all income levels),ECS,65.39154783
Ecuador,ECU,40.35368423
"Egypt, Arab Rep.",EGY,49.56
Euro area,EMU,75.81893486
Eritrea,ERI,0.9
Spain,ESP,71.5719
Estonia,EST,80.0043
Ethiopia,ETH,1.9
European Union,EUU,75.49762317
Fragile and conflict affected situations,FCS,8.925086024
Finland,FIN,91.5144
Fiji,FJI,37.1
France,FRA,81.9198
Faeroe Islands,FRO,90
"Micronesia, Fed. Sts.",FSM,27.8
Gabon,GAB,9.2
United Kingdom,GBR,89.8441
Georgia,GEO,43.1
Ghana,GHA,12.3
Guinea,GIN,1.6
"Gambia, The",GMB,14
Guinea-Bissau,GNB,3.1
Equatorial Guinea,GNQ,16.4
Greece,GRC,59.8663
Grenada,GRD,35
Greenland,GRL,65.8
