Aruba,,ABW,102911
Andorra,,AND,79218
Afghanistan,,AFG,30551674
Angola,,AGO,21471618
Albania,,ALB,2773620
United Arab Emirates,,ARE,9346129
Argentina,,ARG,41446246
Armenia,,ARM,2976566
American Samoa,,ASM,55165
Antigua and Barbuda,,ATG,89985
Australia,,AUS,23130900
Austria,,AUT,8473786
Azerbaijan,,AZE,9416598
Burundi,,BDI,10162532
Belgium,,BEL,11195138
Benin,,BEN,10323474
Burkina Faso,,BFA,16934839
Bangladesh,,BGD,156594962
Bulgaria,,BGR,7265115
Bahrain,,BHR,1332171
"Bahamas, The",,BHS,377374
Bosnia and Herzegovina,,BIH,3829307
Belarus,,BLR,9466000
Belize,,BLZ,331900
Bermuda,,BMU,65024
Bolivia,,BOL,10671200
Brazil,,BRA,200361925
Barbados,,BRB,284644
Brunei Darussalam,,BRN,417784
Bhutan,,BTN,753947
Botswana,,BWA,2021144
Central African Republic,,CAF,4616417
Canada,,CAN,35158304
Switzerland,,CHE,8081482
Chile,,CHL,17619708
China,,CHN,1357380000
Cote d'Ivoire,,CIV,20316086
Cameroon,,CMR,22253959
"Congo, Rep.",,COG,4447632
Colombia,,COL,48321405
Comoros,,COM,734917
Cabo Verde,,CPV,498897
Costa Rica,,CRI,4872166
Cuba,,CUB,11265629
Curacao,,CUW,153500
Cayman Islands,,CYM,58435
Cyprus,,CYP,1141166
Czech Republic,,CZE,10521468
Germany,,DEU,80621788
Djibouti,,DJI,872932
Dominica,,DMA,72003
Denmark,,DNK,5613706
Dominican Republic,,DOM,10403761
Algeria,,DZA,39208194
Ecuador,,ECU,15737878
"Egypt, Arab Rep.",,EGY,82056378
Eritrea,,ERI,6333135
Spain,,ESP,46647421
Estonia,,EST,1324612
Ethiopia,,ETH,94100756
Finland,,FIN,5439407
Fiji,,FJI,881065
France,,FRA,66028467
Faeroe Islands,,FRO,49469
"Micronesia, Fed. Sts.",,FSM,103549
Gabon,,GAB,1671711
United Kingdom,,GBR,64097085
Georgia,,GEO,4476900
Ghana,,GHA,25904598
Guinea,,GIN,11745189
"Gambia, The",,GMB,1849285
Guinea-Bissau,,GNB,1704255
Equatorial Guinea,,GNQ,757014
Greece,,GRC,11032328
Grenada,,GRD,105897
Greenland,,GRL,56483
Guatemala,,GTM,15468203
Guam,,GUM,165124
Guyana,,GUY,799613
"Hong Kong SAR, China",,HKG,7187500
Honduras,,HND,8097688
Croatia,,HRV,4252700
Haiti,,HTI,10317461
Hungary,,HUN,9897247
Indonesia,,IDN,249865631
Isle of Man,,IMY,85888
India,,IND,1252139596
Ireland,,IRL,4595281
"Iran, Islamic Rep.",,IRN,77447168
Iraq,,IRQ,33417476
Iceland,,ISL,323002
Israel,,ISR,8059400
Italy,,ITA,59831093
Jamaica,,JAM,2715000
Jordan,,JOR,6459000
Japan,,JPN,127338621
Kazakhstan,,KAZ,17037508
Kenya,,KEN,44353691
Kyrgyz Republic,,KGZ,5719500
Cambodia,,KHM,15135169
Kiribati,,KIR,102351
St. Kitts and Nevis,,KNA,54191
"Korea, Rep.",,KOR,50219669
Kuwait,,KWT,3368572
Lao PDR,,LAO,6769727
Lebanon,,LBN,4467390
Liberia,,LBR,4294077
Libya,,LBY,6201521
St. Lucia,,LCA,182273
Liechtenstein,,LIE,36925
Sri Lanka,,LKA,20483000
Lesotho,,LSO,2074465
Lithuania,,LTU,2956121
Luxembourg,,LUX,543202
Latvia,,LVA,2013385
"Macao SAR, China",,MAC,566375
St. Martin (French part),,MAF,31264
Morocco,,MAR,33008150
Monaco,,MCO,37831
Moldova,,MDA,3559000
Madagascar,,MDG,22924851
Maldives,,MDV,345023
Mexico,,MEX,122332399
Marshall Islands,,MHL,52634
"Macedonia, FYR",,MKD,2107158
Mali,,MLI,15301650
Malta,,MLT,423282
Myanmar,,MMR,53259018
Montenegro,,MNE,621383
Mongolia,,MNG,2839073
Northern Mariana Islands,,MNP,53855
Mozambique,,MOZ,25833752
Mauritania,,MRT,3889880
Mauritius,,MUS,1296303
Malawi,,MWI,16362567
Malaysia,,MYS,29716965
Namibia,,NAM,2303315
New Caledonia,,NCL,262000
Niger,,NER,17831270
Nigeria,,NGA,173615345
Nicaragua,,NIC,6080478
